GemeentecodeGM,Regio’s,Personen,Personen met persoonlijk inkomen,Aandeel personen,Gemiddeld gestandaardiseerd inkomen,Mediaan gestandaardiseerd inkomen,Gemiddeld persoonlijk inkomen,Mediaan persoonlijk inkomen
GM1883,Sittard-Geleen,"89,8","75,8",100,"32,8","30,4","33,1","26,3"
GM0610,Sliedrecht,"24,6","19,4",100,"33,9","31,4","33,5","27,4"
GM1714,Sluis,"22,8","19,3",100,"34,7","31,4","33,1",26
GM0090,Smallingerland,"54,4","44,2",100,"32,1","29,8","31,1","25,5"
GM0342,Soest,"46,3","37,7",100,"40,2","35,6","39,8","30,4"
GM0847,Someren,"19,2","15,9",100,38,"33,7",34,"27,8"
GM0848,Son en Breugel,"17,3","13,9",100,"41,2","36,7","41,4","32,1"
GM0037,Stadskanaal,"31,1","25,9",100,"30,5","28,1","28,4","23,2"
GM0180,Staphorst,"17,2",13,100,"36,1","32,8","31,9","26,8"
GM0532,Stede Broec,"21,5","17,7",100,"34,8","31,8","32,3","26,6"
GM0851,Steenbergen,"23,7","19,8",100,"35,2","32,7","34,4","27,5"
GM1708,Steenwijkerland,"43,7",36,100,"33,9","31,1","32,1","26,2"
GM0971,Stein (L.),"24,6",21,100,"34,2","31,9","33,3","26,8"
GM1904,Stichtse Vecht,"64,3","51,8",100,"42,2","35,7","41,9","31,3"
GM1900,Súdwest-Fryslân,"88,2","72,4",100,"33,6","31,1","31,7","25,8"
GM0715,Terneuzen,"53,4","44,1",100,"33,7","31,3","34,2","26,9"
GM0093,Terschelling,"4,8","4,1",100,"36,6","32,6","34,5","26,2"
GM0448,Texel,"13,3","11,4",100,"36,1","31,8","31,7","25,6"
GM1525,Teylingen,"37,1","30,3",100,"41,9","36,6","40,9","31,8"
GM0716,Tholen,"25,7","20,4",100,35,"31,9","33,2","26,7"
GM0281,Tiel,"41,1","33,6",100,"33,3","30,8","32,9","26,8"
GM0855,Tilburg,"215,8","179,1",100,"32,4","30,3","32,4","26,5"
GM0183,Tubbergen,"21,1","17,5",100,"38,9",35,"33,3","27,7"
GM1700,Twenterand,"33,3","26,5",100,"33,5","30,7","30,4","25,5"
GM1730,Tynaarlo,"32,9","26,3",100,"39,1","35,5","39,1","31,5"
GM0737,Tytsjerksteradiel,"31,1","25,3",100,"33,7","31,4","31,5","26,8"
GM0450,Uitgeest,"13,6","11,1",100,"38,7","36,4","38,2","31,7"
GM0451,Uithoorn,"29,8","24,1",100,"37,9","34,8","38,7","31,2"
GM0184,Urk,"20,9","14,7",100,"34,3","30,9","30,7","24,2"
GM0344,Utrecht ,"351,5","281,7",100,"36,4","33,7","40,2","33,1"
GM1581,Utrechtse Heuvelrug,48,"38,7",100,"43,1","37,1","42,7","31,6"
GM0981,Vaals,"9,2","7,6",100,"30,7",27,"31,4","23,6"
